Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2006-09-01,19.384016036987305,19.504501746647605,17.994886599032494,18.349256174290716,1097482600
2006-10-01,20.347900390625,20.447124791067264,19.242267692796343,19.362753402623436,1290967400
2006-11-01,20.808576583862305,21.262169091909776,20.25575970082022,20.39750803549121,1239142000
2006-12-01,21.235301971435547,21.519766556644054,20.481469125090335,20.787269062852282,1137160900
2007-01-01,21.94647216796875,22.38739209776989,20.908174355315282,21.270867343242784,1324518200
2007-02-01,20.03343963623047,22.003359295891325,19.763198591558186,21.932242803156214,1290850900
2007-03-01,19.888816833496094,20.3740828246767,18.98250877026273,19.85313460986231,1269506500
2007-04-01,21.36602020263672,21.93692199142213,19.66758499900997,19.90308215702611,958964900
2007-05-01,21.9012393951416,22.236643999188637,21.337472732637153,21.366018500370753,1327154700
2007-06-01,21.098745346069336,22.122539475241,20.790892380125708,22.04378702606788,1181412800
2007-07-01,20.755096435546875,22.795525315359455,20.726459551151226,21.241935760195144,1295548000
2007-08-01,20.568944931030273,21.549782810133962,19.695499087239284,20.72645252119746,1228579500
2007-09-01,21.165508270263672,21.445704330465038,20.310554890835817,20.475797842792513,1117419500
2007-10-01,26.44611167907715,26.58261601793498,21.043374256822364,21.165509285168994,1772076700
2007-11-01,24.139896392822266,26.94184987621534,23.478924324712462,26.24495314907056,1830846800
2007-12-01,25.66135597229004,26.46868154537614,23.52050867063363,24.147625334777203,1064817100
2008-01-01,23.49887466430664,25.920845121677157,22.37439034461812,25.79830629185547,1950301600
2008-02-01,19.606430053710938,23.967418419124986,19.476681403193098,22.388812129264352,2324580800
2008-03-01,20.536481857299805,21.412069036675234,19.44380905773225,19.711549599542277,1452390200
2008-04-01,20.637786865234375,23.22836312237584,20.21084797308404,20.862110245450655,1444720000
2008-05-01,20.493072509765625,22.09228547092695,20.225331866356083,20.62332531151341,1405170200
2008-06-01,19.9802188873291,21.476374463296644,19.689703443250973,20.51040974593255,1560439100
2008-07-01,18.68015480041504,20.270728287248165,18.062810185306347,19.805903715320728,1637501300
2008-08-01,19.82042694091797,20.69923594230288,18.20806451777641,18.8254104282006,1206949700
2008-09-01,19.46196937561035,20.242197958446408,17.13586628607356,20.176571125234823,1927538700
2008-10-01,16.282718658447266,20.030733179369207,15.057686306958445,19.235920555863046,3044579400
2008-11-01,14.744134902954102,17.252534193891822,12.760750225707644,16.392094813285713,1794911800
2008-12-01,14.271403312683105,15.600170373617601,13.559300521832009,14.59441759695689,1546943400
2009-01-01,12.553549766540527,15.41663972025554,12.296605491156205,14.337475443921768,1564043400
2009-02-01,11.856131553649902,14.631127620048236,11.819425823236646,12.502163050700558,1456213400
2009-03-01,13.578353881835938,13.955323798687024,10.991296213648244,11.796979780710682,1625752800
2009-04-01,14.97536563873291,15.670175685084718,13.437914551164297,13.474871947421972,1562400700
2009-05-01,15.441033363342285,15.477992164758527,14.0514148562763,14.92362283202196,1101122400
2009-06-01,17.681398391723633,18.10539466825951,15.516784776617742,15.62092381470361,1411144700
2009-07-01,17.49542808532715,19.131904319029186,16.364770849744886,17.889669384137964,1517459800
2009-08-01,18.335987091064453,18.960824096853507,17.130945307605458,17.71858878996192,993250400
2009-09-01,19.239484786987305,19.635944367859633,17.773334959034507,18.214676298967632,1038979700
2009-10-01,20.743038177490234,21.954857139282925,18.274519919645535,19.00759486570057,1523430100
2009-11-01,21.999738693237305,22.545804631989604,20.503666690015372,20.720597815329967,1018256700
2009-12-01,22.900917053222656,23.667286680135753,21.9767662029832,22.17962900417878,920605500
2010-01-01,21.172832489013672,23.47194020396177,20.78213403382528,23.00610864306741,1359650900
2010-02-01,21.540990829467773,21.811474604338702,20.71451374308496,21.330614400893474,1074643300
2010-03-01,22.109731674194336,23.075946377811754,21.317132055388008,21.71720623096302,1110237200
2010-04-01,23.05330467224121,23.838354222851496,21.60398098518701,22.15502556126017,1319029500
2010-05-01,19.475282669067383,23.445825084808327,18.539261476577746,23.151431729041995,1720130200
2010-06-01,17.447614669799805,20.42000276873231,17.402119339432858,19.35843590045723,1671811600
2010-07-01,19.570741653442383,20.025699138939647,17.23529477057773,17.508269551130084,1408590600
2010-08-01,17.796411514282227,20.00295417751857,17.682672485034313,19.707232412219955,1279372100
2010-09-01,18.668901443481445,19.461701556775363,17.944710542207485,18.043809829376492,1273139500
2010-10-01,20.330734252929688,20.73475761563068,18.127666783338736,18.882350780319868,1281432800
2010-11-01,19.255876541137695,22.007805497451823,19.004315269091343,20.490813166097848,1361176300
2010-12-01,21.406723022460938,21.782548512921068,19.604293515337005,19.611963602438585,1033710000
2011-01-01,21.26866340637207,22.59555769286346,21.030896568790943,21.51410033070349,1361258700
2011-02-01,20.38662338256836,21.736527894322975,20.271575010134836,21.32235199805897,1114368500
2011-03-01,19.58900260925293,20.661422447310972,19.041221031756223,20.52254783003972,1310885200
2011-04-01,19.99791145324707,20.730860183257132,19.072081633399197,19.69701742400118,1313844800
2011-05-01,19.29582405090332,20.25251406240622,18.539730545749304,20.01334192742197,1364062800
2011-06-01,20.191120147705078,20.191120147705078,18.366153222727846,19.40677261037574,1297757600
2011-07-01,21.27833366394043,21.86076981248558,20.066866889705803,20.136759346028157,1259328200
2011-08-01,20.657073974609375,21.503548164889047,18.474879763927284,21.363763218793384,1719339500
2011-09-01,19.45110321044922,21.490773459392553,19.22447401087768,20.678030765823134,1279920200
2011-10-01,20.810888290405273,21.490779047011813,18.95877471270384,19.318256119475823,1218142500
2011-11-01,19.99033546447754,21.256338604649514,18.990036668655723,20.467040580616455,1046207400
2011-12-01,20.440061569213867,20.62115725320166,19.81016810860037,20.12511483890712,1007166600
2012-01-01,23.25096893310547,23.58166343018446,20.778633311406463,20.904612024409438,1354858100
2012-02-01,24.991046905517578,25.19576265732246,23.392690171301272,23.455681019657682,984332300
2012-03-01,25.56769371032715,26.114555830573362,24.957430594433966,25.306153454709392,942366500
2012-04-01,25.377483367919922,26.067001890979796,23.958816353149704,25.535994172495396,940739700
2012-05-01,23.134567260742188,25.63110294806343,22.6986632444345,25.401262401191346,1014372600
2012-06-01,24.403221130371094,24.84198389390735,22.592324665495983,22.943335789279228,973131400
2012-07-01,23.509740829467773,24.770188389100923,22.767833065159525,24.4271564540638,846604100
2012-08-01,24.58670425415039,24.698388992084563,23.110863478691194,23.605470143924762,671748400
2012-09-01,23.898357391357422,25.38397466119883,23.882296299826816,24.45245279580346,893107700
2012-10-01,22.918655395507812,24.291846652917364,22.292286566775154,23.93851027273457,1105402300
2012-11-01,21.376834869384766,24.251705823133324,21.15198407099885,23.159575561931387,1310516100
2012-12-01,21.625354766845703,22.45118301535011,21.261019864921906,21.682030526228843,947310900
2013-01-01,22.224483489990234,22.85599786197161,21.277210387761816,22.06255585682476,1145054400
2013-02-01,22.507858276367188,22.831713596579238,21.941114554509326,22.402606378277902,780587000
2013-03-01,23.35544204711914,23.396258344171063,22.465633069418292,22.628899814667907,844946000
2013-04-01,27.02080726623535,27.02897239638016,22.947279267699006,23.379937742832094,1465757200
2013-05-01,28.490215301513672,28.80042169379231,26.384060446748336,26.882027437096,1071860000
2013-06-01,28.394041061401367,29.41339686124717,26.774576844001494,28.706422570688446,945155500
2013-07-01,26.174480438232422,29.947748925344246,25.500389173512733,28.5666831303281,1111130600
2013-08-01,27.45690155029297,28.93661411270949,25.352419440595924,26.3553371614867,1051265000
2013-09-01,27.551036834716797,27.940130026391106,25.62213468543503,26.28441861741978,1242961500
2013-10-01,29.314367294311523,30.04288112207992,27.153663626988166,27.608983585086452,965331500
2013-11-01,31.566120147705078,31.698576855429863,29.29779547514897,29.52959392416309,800431600
2013-12-01,31.204959869384766,32.514550290976956,29.636786703808166,31.772171372210995,826617700
2014-01-01,31.56362533569336,31.605331392228397,28.886056413345344,31.154898344926444,930226200
2014-02-01,31.95567512512207,32.080793317662106,29.770241724039668,31.48021899313873,705304500
2014-03-01,34.447540283203125,34.876137185032725,31.506179315790728,31.867543570995817,778425700
2014-04-01,33.95170974731445,35.010598254221954,32.69112651222846,34.582001364857454,746112500
2014-05-01,34.4055061340332,34.43071997053365,32.36336169803207,33.81723671282128,574362900
2014-06-01,35.29144287109375,35.79077036025527,33.73421843272945,34.65670470157208,555767300
2014-07-01,36.52705001831055,38.685158220536344,34.741320219759615,35.42683831016052,731616500
2014-08-01,38.448204040527344,38.48205751514042,35.72306067463051,36.56937816928716,513919700
2014-09-01,39.480350494384766,40.5107902554705,37.921914067633026,38.688358744496256,860827300
2014-10-01,39.98277282714844,39.99980528180678,35.85249515784444,39.403682363199046,853260900
2014-11-01,40.71516418457031,42.62275419035962,39.795430852464754,39.931687281449705,523005900
2014-12-01,39.80647277832031,42.04317711719844,38.478162736919934,41.03194677801906,626771200
2015-01-01,34.62177276611328,41.05765013100549,34.57892142378196,39.98643195469132,918966800
2015-02-01,37.578338623046875,37.96397788504932,34.47609117923644,34.78460258883839,656509700
2015-03-01,35.092559814453125,38.139207472404514,34.988991941589376,37.69040896684387,824335300
2015-04-01,41.97988510131836,42.756652394112535,34.62650013486588,35.04077492690165,874535300
2015-05-01,40.44363021850586,42.2129304748439,39.718648248547275,41.928117893269764,633072800
2015-06-01,38.352333068847656,41.49696273920311,38.169907228394,40.88019896966369,664853400
2015-07-01,40.56745910644531,41.1755373047558,37.63131236403837,38.62160953460366,725458100
2015-08-01,37.80506134033203,42.052918071382834,34.5040686303317,40.81070187916724,776480300
2015-09-01,38.701419830322266,39.34848527812083,36.42795312627581,36.87390115842504,673079900
2015-10-01,46.02898406982422,47.54171435655857,38.25547257606567,39.12988337780432,856716800
